second,id,parent,node,organism_parent,lineage,x,y,role,energy
11,5,1,3,1,2,10.4085,-10.1419,3,0.439404
11,6,1,3,2,3,-14.6145,13.2729,3,0.502584
11,7,0,3,3,4,4.90146,2.76441,8,1.05421
11,4,0,1,0,1,-11.8033,-9.8112,8,0.899252
11,6,0,4,2,3,-12.8019,12.9078,0,0.530879
11,7,3,4,3,4,5.25515,3.69352,3,0.659374
11,6,4,5,2,3,-11.5655,13.2659,0,0.537346
11,7,0,5,3,4,3.51275,1.35374,8,0.91776
11,6,5,6,2,3,-10.7411,14.2633,0,0.53892
11,7,5,6,3,4,2.50565,1.17359,3,0.558797
